,Reservation-id,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate
17,26323232,M,32,Asian American,Mid-School,<25K,South,Airport Hotels,7/2/2015,7/3/2015,6/21/2015,1,1,2,1,1,0,0,0,0,2,0,0,182
18,14142898,F,55,Asian American,College,<25K,East,Airport Hotels,7/2/2015,7/3/2015,7/3/2015,3,1,1,1,0,0,0,1,1,2,1,10,168
19,13898482,M,62,Asian American,Mid-School,50K -- 100K,West,Airport Hotels,7/5/2015,7/6/2015,6/29/2015,1,1,0,1,0,0,1,1,1,2,0,0,234
20,37437329,M,22,African American,Grad,<25K,East,Resort,7/6/2015,7/7/2015,5/31/2015,1,3,2,1,0,0,1,0,1,2,1,10,118
21,42680944,F,62,caucasian,High-School,>100K,South,Resort,7/7/2015,7/11/2015,4/30/2015,1,2,0,1,0,0,0,2,0,2,1,5,220
22,67286844,M,45,Asian American,High-School,25K --50K,East,Airport Hotels,7/7/2015,7/8/2015,4/27/2015,3,1,0,1,0,0,0,1,1,2,1,20,222
23,85519191,F,53,Latino,Mid-School,25K --50K,South,City Hotel,7/7/2015,7/10/2015,4/29/2015,5,3,0,1,0,0,0,1,0,2,1,25,161
24,2579451,F,33,caucasian,Mid-School,50K -- 100K,South,City Hotel,7/1/2015,7/3/2015,2/26/2015,2,1,0,0,0,0,0,0,1,2,1,10,101
25,17727805,M,32,Latino,College,<25K,South,City Hotel,7/8/2015,7/9/2015,4/22/2015,3,1,1,1,1,0,0,1,1,2,0,0,105
26,44808431,F,43,African American,College,<25K,South,City Hotel,7/8/2015,7/9/2015,5/22/2015,2,2,0,1,1,0,0,1,1,2,0,0,146
27,70317745,F,38,caucasian,High-School,25K --50K,West,City Hotel,5/11/2015,5/12/2015,3/13/2015,3,2,0,1,0,0,1,2,1,2,1,20,162
28,69306508,F,18,Asian American,High-School,<25K,East,City Hotel,7/8/2015,7/9/2015,4/23/2015,1,2,0,1,1,0,0,1,1,2,1,10,129
29,65535117,M,66,Latino,College,50K -- 100K,South,Resort,7/8/2015,7/10/2015,4/2/2015,2,1,0,1,0,0,1,1,1,2,0,0,218
30,72188000,M,44,Latino,High-School,<25K,North,Airport Hotels,7/15/2015,7/18/2015,3/22/2015,2,1,0,1,0,0,1,1,1,2,1,20,191
31,34053875,F,43,Latino,High-School,25K --50K,East,Airport Hotels,7/16/2015,7/17/2015,4/13/2015,5,2,0,1,0,0,0,1,1,2,1,25,154
32,95959457,F,29,Asian American,Mid-School,25K --50K,South,Airport Hotels,5/29/2015,5/30/2015,2/23/2015,3,2,0,1,0,0,1,1,1,2,0,0,173
33,33334436,F,54,Asian American,Mid-School,50K -- 100K,South,Airport Hotels,7/8/2015,7/9/2015,5/1/2015,4,2,1,1,1,0,0,1,1,2,0,0,216
34,97828465,F,48,caucasian,Mid-School,50K -- 100K,South,City Hotel,5/19/2015,5/22/2015,4/7/2015,3,2,1,1,0,0,0,1,1,2,1,5,103
35,70532206,F,43,Latino,College,50K -- 100K,East,Airport Hotels,6/19/2015,6/20/2015,5/11/2015,3,1,0,1,0,0,0,1,0,2,1,25,246
36,98511366,F,43,caucasian,Grad,>100K,South,Airport Hotels,7/6/2015,7/9/2015,6/24/2015,5,2,0,1,0,0,0,0,1,2,0,0,156
37,62860295,F,23,African American,High-School,50K -- 100K,North,City Hotel,7/6/2015,7/7/2015,6/1/2015,3,1,0,1,1,0,0,1,0,2,1,10,237
38,47244513,M,43,African American,Mid-School,25K --50K,South,City Hotel,5/23/2015,5/27/2015,4/14/2015,4,2,1,1,1,0,0,2,0,2,0,0,166
39,5385714,M,21,caucasian,College,50K -- 100K,South,Airport Hotels,7/7/2015,7/11/2015,5/2/2015,1,2,1,0,0,0,0,0,1,2,1,25,208
40,95106668,F,35,African American,Mid-School,25K --50K,South,Airport Hotels,5/18/2015,5/19/2015,4/4/2015,1,1,0,1,0,0,2,1,1,2,1,30,159
41,140349,F,36,caucasian,Mid-School,25K --50K,South,Resort,7/7/2015,7/10/2015,5/26/2015,2,2,0,1,0,0,0,1,0,2,1,10,188
42,7709904,F,51,African American,College,50K -- 100K,East,Resort,7/7/2015,7/8/2015,6/22/2015,2,1,0,1,0,0,0,0,1,2,1,20,134
43,89888538,F,29,caucasian,College,50K -- 100K,North,Airport Hotels,7/7/2015,7/8/2015,4/29/2015,2,1,0,0,1,1,0,1,1,2,1,20,218
44,37320420,F,68,caucasian,High-School,50K -- 100K,East,Airport Hotels,7/9/2015,7/13/2015,3/28/2015,1,2,1,1,0,0,0,0,1,2,0,0,101
45,94772738,M,44,Asian American,College,50K -- 100K,West,Resort,6/2/2015,6/5/2015,4/19/2015,2,1,0,1,0,0,1,0,1,2,0,0,124
46,67740487,F,62,caucasian,High-School,<25K,South,Resort,7/9/2015,7/11/2015,4/6/2015,3,2,1,1,1,0,0,1,1,2,1,10,243
47,56263406,M,68,Latino,High-School,<25K,South,Airport Hotels,7/9/2015,7/10/2015,3/19/2015,1,1,1,1,0,0,1,1,1,2,1,25,238
48,93676283,M,69,caucasian,Grad,<25K,South,Resort,7/9/2015,7/13/2015,4/14/2015,2,2,0,0,0,0,0,1,1,2,0,0,150
49,73719356,F,66,African American,Grad,>100K,North,Airport Hotels,7/9/2015,7/10/2015,5/21/2015,1,2,0,0,0,0,0,0,1,2,1,5,111
50,62215136,F,32,Asian American,Grad,50K -- 100K,South,Resort,7/9/2015,7/12/2015,3/21/2015,2,2,0,1,1,0,0,1,1,2,1,20,240
51,53295296,M,59,Latino,High-School,25K --50K,South,Airport Hotels,7/13/2015,7/14/2015,4/12/2015,3,1,0,1,0,0,0,1,0,2,1,40,237
52,21196935,M,44,African American,College,50K -- 100K,West,City Hotel,7/16/2015,7/17/2015,5/2/2015,2,2,0,1,0,0,0,2,1,2,0,0,228
53,6285306,F,48,Latino,High-School,50K -- 100K,East,City Hotel,7/3/2015,7/4/2015,7/1/2015,2,2,1,1,1,1,0,1,0,2,1,25,175
54,50124298,M,28,African American,College,>100K,North,Airport Hotels,7/3/2015,7/7/2015,7/6/2015,2,2,0,1,0,0,1,1,1,2,1,15,199
55,44843313,F,67,Latino,College,50K -- 100K,South,Airport Hotels,7/3/2015,7/4/2015,7/3/2015,2,1,0,1,1,1,1,1,0,2,1,20,158
56,62712158,F,63,caucasian,Grad,>100K,North,Airport Hotels,7/3/2015,7/4/2015,7/4/2015,2,2,1,1,0,0,0,0,1,2,1,10,131
57,62570719,M,38,caucasian,Grad,50K -- 100K,North,Airport Hotels,7/3/2015,7/4/2015,7/4/2015,5,1,1,1,1,0,0,1,1,2,1,10,149
58,31873692,M,21,African American,Grad,25K --50K,East,City Hotel,7/3/2015,7/4/2015,7/4/2015,2,2,0,1,1,0,1,1,1,2,1,20,140
59,88607277,M,60,Latino,High-School,>100K,South,Airport Hotels,7/4/2015,7/5/2015,6/21/2015,2,1,1,1,0,0,2,1,1,2,1,10,143
60,45408396,F,26,Asian American,High-School,<25K,East,City Hotel,7/4/2015,7/5/2015,6/25/2015,1,1,0,1,0,0,1,0,1,2,1,5,225
61,60695251,M,52,caucasian,Grad,>100K,South,Airport Hotels,7/4/2015,7/5/2015,6/30/2015,3,1,1,1,1,0,2,1,0,2,1,25,201
62,18301716,M,24,caucasian,High-School,25K --50K,South,Resort,7/5/2015,7/6/2015,6/19/2015,2,2,0,1,1,0,0,0,1,2,0,0,123
63,75436311,M,60,Asian American,Mid-School,<25K,South,Airport Hotels,7/5/2015,7/6/2015,4/4/2015,4,2,0,1,1,1,0,1,1,2,1,25,242
64,51494336,F,26,Asian American,Mid-School,25K --50K,North,City Hotel,6/29/2015,7/1/2015,6/28/2015,1,3,0,0,1,1,1,1,0,2,1,15,179
65,37564720,F,26,African American,College,<25K,North,City Hotel,7/5/2015,7/6/2015,6/26/2015,1,1,0,1,1,0,0,0,1,2,1,10,232
66,84070025,F,69,Asian American,Grad,>100K,South,Airport Hotels,7/5/2015,7/6/2015,7/3/2015,1,1,2,1,0,0,1,2,1,2,1,30,127
67,58266326,M,56,African American,College,<25K,North,Airport Hotels,7/5/2015,7/6/2015,5/16/2015,3,3,1,1,1,0,0,2,1,2,0,0,204
68,4845332,M,42,Latino,College,50K -- 100K,East,Resort,6/16/2015,6/17/2015,4/7/2015,3,1,0,1,1,0,0,0,0,2,1,10,174
69,96798559,F,61,caucasian,College,50K -- 100K,East,Resort,6/18/2015,6/20/2015,4/18/2015,1,2,0,1,0,0,0,1,1,2,1,10,219
70,75344429,M,63,caucasian,College,50K -- 100K,West,Resort,7/3/2015,7/4/2015,5/3/2015,1,3,0,1,0,0,0,2,1,2,1,30,146
71,89456553,F,65,African American,Mid-School,50K -- 100K,East,Resort,6/12/2015,6/13/2015,3/4/2015,5,1,0,1,0,0,0,0,1,2,1,10,177
72,97707055,M,67,Asian American,College,<25K,West,Resort,7/5/2015,7/6/2015,7/4/2015,1,2,1,0,0,0,0,1,0,2,0,0,214
73,66082028,M,55,Latino,Grad,<25K,South,City Hotel,7/5/2015,7/7/2015,6/22/2015,4,1,1,1,1,1,0,0,1,2,0,0,200
74,59992741,M,53,Asian American,Mid-School,>100K,South,Resort,6/9/2015,6/12/2015,4/22/2015,4,1,1,1,0,0,0,2,0,2,0,0,186
75,67830167,F,22,caucasian,High-School,25K --50K,North,Resort,7/6/2015,7/7/2015,7/4/2015,5,2,0,1,0,0,0,1,1,2,0,0,187
76,61148490,M,46,caucasian,College,25K --50K,South,Airport Hotels,5/26/2015,5/29/2015,4/11/2015,2,2,1,1,0,0,0,1,1,2,1,30,212
77,8374938,F,40,Asian American,Mid-School,50K -- 100K,South,Airport Hotels,7/7/2015,7/9/2015,7/7/2015,1,3,0,1,1,1,0,1,1,2,0,0,222
78,12091786,F,64,Latino,Mid-School,25K --50K,North,Resort,7/7/2015,7/9/2015,4/28/2015,4,1,0,1,0,0,0,0,1,2,1,20,121
79,7675104,M,44,caucasian,College,25K --50K,East,Airport Hotels,7/11/2015,7/12/2015,4/22/2015,5,2,2,1,0,0,0,1,0,2,0,0,203
80,44467998,F,28,caucasian,College,<25K,South,City Hotel,7/12/2015,7/15/2015,4/7/2015,1,2,1,1,1,0,2,1,0,2,1,5,227
81,54294175,M,40,African American,College,50K -- 100K,North,Airport Hotels,5/19/2015,5/20/2015,5/17/2014,1,1,0,1,1,1,0,2,1,2,1,20,249
82,37285949,F,21,Asian American,Mid-School,>100K,South,City Hotel,7/13/2015,7/16/2015,7/17/2014,2,2,1,1,0,0,0,0,1,2,1,20,243
83,52449633,F,62,Latino,Grad,50K -- 100K,South,Resort,6/9/2015,6/10/2015,3/21/2015,2,1,0,0,1,0,0,1,1,2,1,10,231
84,43700894,M,58,Asian American,Mid-School,50K -- 100K,East,Resort,7/13/2015,7/17/2015,4/9/2015,2,1,0,0,0,0,1,2,1,2,1,25,169
85,19868896,F,34,Latino,College,<25K,South,City Hotel,7/17/2015,7/18/2015,8/28/2014,1,1,0,0,1,0,1,1,0,2,1,25,188
86,64763276,M,31,caucasian,Grad,25K --50K,East,City Hotel,7/17/2015,7/20/2015,5/12/2015,2,2,0,1,0,0,1,1,1,2,1,10,100
87,50935350,M,37,Asian American,College,<25K,East,City Hotel,4/15/2015,4/18/2015,1/29/2015,2,1,1,1,0,0,2,1,0,2,1,40,170
88,59376256,F,51,Asian American,Mid-School,<25K,West,City Hotel,7/4/2015,7/7/2015,6/25/2015,2,1,1,1,0,0,0,0,0,2,1,20,146
89,2454990,M,47,Latino,Grad,25K --50K,West,Resort,7/4/2015,7/5/2015,6/26/2015,1,1,0,1,0,0,1,1,1,2,1,10,121
90,66392370,M,56,Latino,Grad,<25K,North,City Hotel,7/4/2015,7/5/2015,7/4/2015,2,1,0,1,0,0,0,0,1,2,0,0,102
91,41050783,M,51,African American,Grad,<25K,South,Resort,7/4/2015,7/6/2015,6/15/2015,1,1,0,1,0,0,0,1,1,2,1,30,138
92,4295644,F,39,African American,Grad,<25K,South,Airport Hotels,7/4/2015,7/7/2015,6/28/2015,1,1,0,1,0,0,1,2,0,2,1,20,242
93,41547218,M,29,Asian American,College,50K -- 100K,West,Resort,7/4/2015,7/6/2015,3/19/2015,1,2,1,1,1,1,1,0,0,2,1,5,203
94,5293613,M,46,African American,High-School,25K --50K,North,Airport Hotels,5/26/2015,5/27/2015,2/7/2015,2,1,0,1,1,1,0,2,1,2,0,0,235
95,16778927,F,66,African American,Mid-School,50K -- 100K,West,Airport Hotels,6/29/2015,6/30/2015,4/19/2015,2,1,1,1,0,0,0,1,1,2,1,15,205
96,44624415,M,49,African American,Mid-School,25K --50K,South,Resort,5/13/2015,5/14/2015,3/12/2015,1,2,1,1,0,0,0,1,1,2,1,5,215
97,1691869,F,38,Latino,Mid-School,>100K,West,Airport Hotels,7/10/2015,7/12/2015,5/10/2015,2,1,0,0,0,0,1,0,1,2,1,5,240
98,89215770,M,57,Latino,Grad,25K --50K,South,City Hotel,7/10/2015,7/14/2015,4/4/2015,3,1,0,1,0,0,0,1,1,2,1,30,226
99,20176010,M,46,caucasian,College,50K -- 100K,South,City Hotel,7/10/2015,7/12/2015,4/1/2015,1,1,2,1,0,0,0,0,1,2,1,10,164
100,40028695,F,59,African American,High-School,50K -- 100K,East,City Hotel,7/7/2015,7/9/2015,7/5/2015,4,2,0,1,0,0,2,1,0,2,1,25,204
101,11260215,F,23,Asian American,College,<25K,South,City Hotel,7/7/2015,7/11/2015,4/4/2015,2,2,0,1,0,0,1,1,1,2,0,0,158
102,76318666,F,32,Asian American,High-School,25K --50K,North,Resort,7/10/2015,7/12/2015,4/11/2015,2,2,0,1,1,1,0,2,1,2,1,15,204
103,56252511,M,28,Latino,High-School,<25K,South,Airport Hotels,7/10/2015,7/11/2015,4/7/2015,3,1,0,1,1,0,0,1,1,2,1,5,117
104,15611316,F,47,caucasian,College,25K --50K,West,Airport Hotels,7/11/2015,7/14/2015,4/3/2015,3,1,0,1,0,0,0,0,1,2,1,15,209
105,27064774,M,52,African American,Grad,<25K,East,Resort,6/9/2015,6/10/2015,5/15/2015,5,1,0,1,1,0,1,1,0,2,1,10,114
106,46967349,F,35,Latino,Grad,25K --50K,South,Airport Hotels,5/20/2015,5/21/2015,3/9/2015,2,2,0,0,0,0,0,0,1,2,1,5,229
107,70161171,F,48,caucasian,Mid-School,50K -- 100K,North,Resort,4/22/2015,4/24/2015,1/12/2015,2,2,0,1,1,0,1,1,0,2,0,0,129
108,81928060,F,26,Latino,High-School,25K --50K,South,Resort,7/11/2015,7/13/2015,3/20/2015,4,1,0,1,0,0,0,1,1,2,1,25,189
109,20965226,F,30,caucasian,College,<25K,South,Resort,7/11/2015,7/12/2015,4/1/2015,2,1,2,1,1,1,0,2,0,2,1,5,247
110,99218933,F,57,caucasian,Grad,50K -- 100K,South,City Hotel,7/11/2015,7/13/2015,4/18/2015,3,3,0,1,1,0,0,0,1,2,0,0,245
111,18472049,F,19,caucasian,College,<25K,North,City Hotel,7/11/2015,7/12/2015,4/25/2015,5,2,0,0,1,1,0,0,1,2,1,20,191
112,54997115,F,22,Asian American,College,25K --50K,North,Airport Hotels,7/11/2015,7/12/2015,5/21/2015,2,2,0,1,1,0,0,2,1,2,0,0,214
113,47708934,M,60,caucasian,College,<25K,East,Resort,7/12/2015,7/15/2015,6/16/2015,1,2,0,1,1,0,1,0,1,2,1,10,228
114,31956359,F,23,African American,Grad,50K -- 100K,North,City Hotel,5/12/2015,5/13/2015,2/1/2015,2,1,0,1,0,0,0,1,1,2,1,20,238
115,85101864,M,55,Asian American,Mid-School,50K -- 100K,East,Airport Hotels,7/12/2015,7/13/2015,3/26/2015,2,3,0,1,0,0,0,2,1,2,1,5,144
116,76679894,M,58,African American,Mid-School,50K -- 100K,West,Airport Hotels,7/14/2015,7/16/2015,4/15/2015,2,1,0,1,0,0,0,1,0,2,1,10,216
117,99030960,M,31,caucasian,Mid-School,50K -- 100K,South,Resort,7/14/2015,7/18/2015,4/17/2015,1,1,0,1,0,0,0,1,1,2,1,5,240
118,22908824,F,33,Latino,College,<25K,East,City Hotel,7/14/2015,7/16/2015,4/28/2015,3,1,1,0,0,0,1,0,1,2,0,0,123
119,95121154,F,41,Asian American,High-School,25K --50K,North,Resort,7/5/2015,7/6/2015,7/4/2015,4,2,0,1,0,0,0,1,1,2,1,5,248
120,93260803,F,38,Latino,High-School,50K -- 100K,North,Airport Hotels,7/5/2015,7/7/2015,6/7/2015,5,1,1,1,0,0,0,0,1,2,1,25,217
121,65748594,F,24,African American,College,50K -- 100K,West,Airport Hotels,5/29/2015,5/31/2015,4/10/2015,1,2,0,0,0,0,0,0,0,2,1,5,234
122,70197598,M,63,caucasian,College,50K -- 100K,West,Resort,7/4/2015,7/5/2015,5/30/2015,3,1,0,1,1,1,2,1,1,2,1,5,120
123,75393812,F,58,African American,High-School,50K -- 100K,East,City Hotel,5/13/2015,5/15/2015,3/3/2015,2,3,0,1,0,0,0,1,1,2,0,0,158
124,35573319,F,26,Latino,High-School,50K -- 100K,West,Resort,6/16/2015,6/18/2015,5/16/2015,2,1,1,1,0,0,0,2,1,2,0,0,168
125,15775355,M,20,Asian American,High-School,<25K,East,City Hotel,7/5/2015,7/7/2015,6/5/2015,3,1,1,2,0,0,0,0,1,2,1,20,130
126,20372189,F,44,Asian American,Grad,25K --50K,South,City Hotel,7/5/2015,7/8/2015,6/30/2015,1,1,0,1,0,0,0,0,1,2,1,5,203
127,14138784,F,38,Asian American,Mid-School,50K -- 100K,West,City Hotel,7/6/2015,7/8/2015,3/30/2015,3,3,1,1,1,1,0,1,1,2,1,15,181
128,75668801,F,64,caucasian,High-School,25K --50K,South,Airport Hotels,7/6/2015,7/7/2015,7/6/2015,1,1,1,1,0,0,0,1,1,2,1,15,165
129,85923736,F,29,African American,College,<25K,South,Resort,7/6/2015,7/7/2015,3/29/2015,2,2,0,1,1,0,0,2,1,2,1,20,186
130,91219,M,35,Latino,High-School,50K -- 100K,North,Resort,7/6/2015,7/8/2015,3/30/2015,4,1,0,1,0,0,0,0,1,2,1,10,130
131,45482058,M,53,Latino,Grad,25K --50K,South,City Hotel,7/6/2015,7/8/2015,6/29/2015,1,1,0,1,0,0,0,1,1,2,1,20,118
132,91798772,M,38,Asian American,College,<25K,West,Airport Hotels,7/1/2015,7/5/2015,6/30/2015,3,1,1,1,0,0,0,1,0,2,0,0,123
133,52430955,F,22,African American,High-School,25K --50K,South,Airport Hotels,7/6/2015,7/7/2015,7/7/2015,1,2,0,1,0,0,1,1,1,2,1,5,195
134,56511978,M,47,African American,Grad,<25K,North,Resort,7/6/2015,7/8/2015,6/29/2015,1,2,0,1,1,1,0,1,1,2,0,0,109
135,4371916,F,69,caucasian,Grad,>100K,South,City Hotel,7/6/2015,7/8/2015,7/6/2015,1,2,1,1,0,0,0,2,0,2,1,10,162
136,61280116,F,25,Latino,College,>100K,South,City Hotel,7/6/2015,7/10/2015,7/8/2015,1,1,0,1,0,0,2,1,1,2,1,25,179
137,8903936,F,22,caucasian,High-School,50K -- 100K,East,Airport Hotels,7/6/2015,7/9/2015,6/30/2015,4,1,0,1,1,1,1,1,1,2,1,20,242
138,49894109,M,57,Latino,College,25K --50K,East,Airport Hotels,7/1/2015,7/2/2015,6/27/2015,1,1,0,1,0,0,0,0,0,2,1,15,244
139,36479325,F,68,African American,Grad,>100K,South,Airport Hotels,7/6/2015,7/8/2015,7/6/2015,2,2,1,1,0,0,0,2,1,2,1,30,148
140,95145544,F,27,Latino,Mid-School,>100K,West,City Hotel,7/7/2015,7/8/2015,5/25/2015,2,2,1,0,1,1,1,2,0,2,0,0,176
141,78688371,F,24,caucasian,College,<25K,South,Airport Hotels,7/7/2015,7/9/2015,4/20/2015,1,1,0,1,0,0,0,1,0,2,1,20,103
142,50136772,F,61,African American,Grad,25K --50K,West,City Hotel,7/9/2015,7/13/2015,4/7/2015,4,1,0,1,1,0,0,1,1,2,1,20,122
143,8142106,M,36,Asian American,Mid-School,25K --50K,West,City Hotel,7/10/2015,7/11/2015,3/24/2015,3,2,1,1,0,0,2,1,1,2,1,20,133
144,12737635,F,38,caucasian,Mid-School,25K --50K,South,City Hotel,7/10/2015,7/11/2015,6/11/2015,4,1,1,1,0,0,1,1,1,2,0,0,158
145,70828688,M,70,Asian American,College,50K -- 100K,East,City Hotel,7/10/2015,7/11/2015,5/8/2015,2,1,0,1,0,0,0,1,0,2,1,40,227
146,45133192,M,38,African American,College,50K -- 100K,North,City Hotel,7/11/2015,7/12/2015,6/3/2015,1,2,0,1,1,0,0,1,0,2,1,25,114
147,60357244,M,58,African American,Grad,25K --50K,South,Airport Hotels,7/11/2015,7/12/2015,4/13/2015,1,1,0,1,0,0,1,1,1,2,1,25,223
148,20431537,M,26,Latino,College,<25K,South,Airport Hotels,6/17/2015,6/18/2015,5/15/2015,2,2,0,1,0,0,0,2,1,2,1,30,201
149,85494342,M,37,African American,College,25K --50K,North,Resort,5/1/2015,5/2/2015,1/29/2015,3,3,1,0,0,0,1,1,0,2,1,5,191
150,11120982,F,45,Asian American,Grad,<25K,South,City Hotel,7/12/2015,7/16/2015,4/10/2015,5,1,0,0,0,0,1,1,1,2,1,5,190
151,51131903,M,29,Asian American,High-School,25K --50K,West,Airport Hotels,7/12/2015,7/13/2015,6/14/2015,2,1,2,1,0,0,0,0,1,2,1,20,115
152,89674363,F,25,African American,College,>100K,North,City Hotel,3/30/2015,3/31/2015,12/20/2014,2,2,0,0,0,0,1,0,1,2,0,0,176
153,23053437,F,54,Asian American,College,50K -- 100K,North,Resort,7/12/2015,7/13/2015,6/16/2015,1,1,1,1,1,0,1,0,0,2,1,40,160
154,6558091,M,18,caucasian,Grad,50K -- 100K,South,Resort,7/14/2015,7/16/2015,7/8/2015,3,1,1,1,0,0,0,2,1,2,1,10,150
155,10383391,M,54,Asian American,College,50K -- 100K,North,Resort,7/15/2015,7/17/2015,4/26/2015,1,2,1,1,1,0,1,1,0,2,1,5,157
156,79042826,M,33,Asian American,High-School,25K --50K,West,Airport Hotels,7/15/2015,7/16/2015,4/13/2015,2,3,0,1,0,0,0,1,1,2,1,10,188
157,24397112,F,35,African American,College,50K -- 100K,South,Resort,7/16/2015,7/17/2015,3/29/2015,1,1,1,1,0,0,0,1,1,2,0,0,186
158,57110940,M,58,African American,Mid-School,<25K,South,Resort,7/19/2015,7/20/2015,4/15/2015,2,2,0,0,1,1,0,2,1,2,0,0,172
159,58986042,M,24,Asian American,College,25K --50K,East,City Hotel,7/19/2015,7/22/2015,5/4/2015,2,2,0,0,0,0,1,1,1,2,1,20,244
160,28336528,F,40,Asian American,Mid-School,>100K,North,City Hotel,7/11/2015,7/12/2015,3/19/2015,1,1,1,1,0,0,0,1,0,2,1,20,241
161,52268748,F,29,Latino,Mid-School,>100K,North,Resort,7/10/2015,7/12/2015,3/23/2015,2,2,1,1,0,0,0,1,1,2,1,10,193
162,30401013,M,37,Asian American,Grad,50K -- 100K,East,Airport Hotels,7/10/2015,7/11/2015,5/21/2015,1,2,0,1,0,0,0,0,1,2,1,20,151
163,45608680,M,34,caucasian,College,50K -- 100K,West,Airport Hotels,7/10/2015,7/13/2015,4/10/2015,3,2,0,1,0,0,0,0,1,2,1,10,127
164,68485421,M,62,caucasian,College,50K -- 100K,South,Airport Hotels,7/10/2015,7/13/2015,4/23/2015,2,3,0,0,0,0,0,2,1,2,1,5,184
165,33603045,M,50,caucasian,College,50K -- 100K,South,Resort,7/10/2015,7/12/2015,4/19/2015,4,2,0,1,1,1,0,0,0,2,1,30,181
166,14999192,F,56,Asian American,College,<25K,East,City Hotel,7/10/2015,7/13/2015,5/23/2015,1,2,0,1,1,1,1,1,1,2,1,5,145
167,98707595,F,43,caucasian,High-School,<25K,South,Resort,7/6/2015,7/7/2015,3/18/2015,2,1,0,1,0,0,0,0,1,2,1,20,229
168,13605689,F,27,Latino,College,<25K,South,Resort,7/6/2015,7/7/2015,7/7/2015,3,2,0,1,0,0,1,1,0,2,0,0,150
169,10893318,F,23,Asian American,College,<25K,North,Airport Hotels,7/7/2015,7/8/2015,7/6/2015,1,3,0,1,0,0,0,0,0,2,1,5,203
170,90856125,F,27,Latino,College,<25K,North,City Hotel,7/8/2015,7/9/2015,7/2/2015,2,1,0,1,1,0,1,1,0,2,0,0,173
171,3777304,M,23,African American,High-School,25K --50K,North,Airport Hotels,7/8/2015,7/9/2015,4/2/2015,3,2,1,1,1,0,0,1,1,2,1,15,154
172,28290541,F,21,Asian American,College,25K --50K,East,Airport Hotels,7/9/2015,7/11/2015,4/7/2015,2,2,0,1,0,0,2,1,0,2,1,20,115
